customer_id,age,job,marital,education,default,balance,home_loan,personal_loan,contact
10001,52,self-employed,divorced,secondary,no,1291,yes,no,cellular
10002,31,self-employed,single,tertiary,no,1657,yes,yes,cellular
10003,34,technician,single,secondary,no,5731,yes,no,cellular
10004,56,technician,divorced,secondary,no,1480,yes,yes,cellular
10005,41,admin.,single,secondary,no,0,no,no,telephone
10006,27,admin.,married,tertiary,no,73,no,no,cellular
10007,60,retired,married,tertiary,no,3461,no,no,cellular
10008,27,admin.,single,secondary,no,276,yes,no,unknown
10009,40,technician,married,secondary,no,42,no,no,cellular
10010,28,admin.,single,secondary,no,352,yes,yes,cellular
10011,41,entrepreneur,married,secondary,no,353,no,no,cellular
10012,42,services,married,secondary,no,1301,yes,no,cellular
10013,31,self-employed,married,tertiary,no,414,no,no,cellular
10014,27,management,single,tertiary,no,390,no,no,cellular
10015,30,blue-collar,married,secondary,no,167,yes,no,cellular
10016,77,retired,divorced,secondary,no,0,no,no,cellular
10017,25,blue-collar,single,primary,no,292,yes,yes,cellular
10018,42,entrepreneur,married,tertiary,no,233,no,no,cellular
10019,53,retired,married,tertiary,no,2269,no,no,cellular
10020,26,blue-collar,married,secondary,no,245,yes,no,unknown
10021,46,management,married,tertiary,no,1600,yes,yes,cellular
10022,33,technician,divorced,secondary,no,370,yes,no,cellular
10023,42,admin.,single,secondary,no,1451,yes,no,cellular
10024,56,admin.,married,secondary,no,292,yes,no,unknown
10025,28,unemployed,married,primary,no,7459,yes,no,cellular
10026,44,admin.,married,secondary,no,262,yes,no,cellular
10027,54,technician,married,secondary,no,719,yes,no,cellular
10028,33,services,single,secondary,no,152,yes,no,cellular
10029,36,technician,single,tertiary,no,268,no,no,cellular
10030,57,retired,married,secondary,no,1044,no,no,telephone
10031,51,retired,divorced,secondary,no,1679,no,no,cellular
10032,35,management,divorced,tertiary,no,146,no,no,cellular
10033,38,technician,single,secondary,no,1711,no,no,cellular
10034,57,management,married,tertiary,no,256,no,no,cellular
10035,38,technician,married,tertiary,no,3234,no,no,cellular
10036,59,retired,divorced,unknown,no,-49,yes,no,unknown
10037,71,retired,divorced,secondary,no,4380,no,no,cellular
10038,47,blue-collar,married,secondary,no,182,yes,no,telephone
10039,53,housemaid,married,primary,no,1903,no,no,unknown
10040,59,admin.,married,primary,no,879,yes,no,cellular
10041,34,management,single,tertiary,no,171,yes,no,cellular
10042,45,technician,married,secondary,no,1831,no,no,cellular
10043,29,self-employed,single,secondary,no,970,yes,no,cellular
10044,34,admin.,married,secondary,no,124,yes,no,telephone
10045,26,services,single,tertiary,no,1140,yes,no,cellular
10046,50,admin.,divorced,secondary,no,237,no,yes,telephone
10047,54,management,married,secondary,no,2895,yes,no,cellular
10048,53,blue-collar,married,secondary,no,1653,no,no,unknown
10049,30,blue-collar,single,secondary,no,799,no,no,unknown
10050,45,entrepreneur,married,tertiary,no,219,yes,yes,cellular
10051,50,housemaid,married,tertiary,no,5260,yes,no,cellular
10052,49,retired,married,unknown,no,247,no,no,unknown
10053,40,unemployed,divorced,secondary,no,262,yes,no,unknown
10054,39,technician,married,tertiary,no,437,no,no,telephone
10055,43,unemployed,single,primary,no,698,yes,no,unknown
10056,30,management,single,tertiary,no,398,no,no,cellular
10057,41,technician,single,tertiary,no,145,no,no,cellular
10058,57,retired,married,primary,no,1623,yes,yes,cellular
10059,36,management,married,tertiary,no,-633,yes,no,cellular
10060,32,technician,single,secondary,no,562,yes,no,unknown
10061,18,student,single,secondary,no,5,no,no,cellular
10062,33,services,married,secondary,no,386,no,no,cellular
10063,46,self-employed,married,primary,no,3262,no,no,cellular
10064,35,services,married,secondary,no,0,no,no,unknown
10065,53,admin.,divorced,secondary,no,-372,yes,no,unknown
10066,70,retired,married,tertiary,no,44,no,no,cellular
10067,30,management,single,tertiary,no,8535,no,no,cellular
10068,36,unemployed,married,secondary,no,-35,no,no,cellular
10069,57,retired,married,tertiary,no,0,yes,yes,unknown
10070,71,retired,married,secondary,no,1696,no,no,cellular
10071,32,blue-collar,married,secondary,no,333,yes,no,cellular
10072,28,admin.,married,secondary,no,170,yes,yes,unknown
10073,54,technician,married,secondary,no,473,no,yes,cellular
10074,50,services,married,secondary,no,320,no,no,telephone
10075,27,management,single,tertiary,yes,0,no,yes,cellular
10076,47,technician,married,secondary,no,1167,yes,no,cellular
10077,59,technician,married,secondary,no,1,no,no,cellular
10078,30,management,married,tertiary,no,4328,no,no,cellular
10079,35,management,married,tertiary,no,4943,yes,no,cellular
10080,35,student,single,secondary,no,188,yes,no,cellular
10081,34,management,single,tertiary,no,275,no,no,cellular
10082,39,technician,single,tertiary,no,393,no,no,cellular
10083,36,management,divorced,tertiary,no,649,no,no,cellular
10084,37,management,married,tertiary,no,26,no,no,cellular
10085,48,admin.,married,primary,no,3644,yes,yes,telephone
10086,54,entrepreneur,married,secondary,no,0,no,no,unknown
10087,49,technician,married,secondary,no,-142,yes,yes,cellular
10088,43,management,divorced,tertiary,no,1,yes,yes,unknown
10089,35,self-employed,divorced,tertiary,no,1354,yes,no,unknown
10090,47,admin.,single,secondary,no,3957,yes,no,telephone
10091,39,blue-collar,married,secondary,no,1382,yes,no,cellular
10092,33,technician,married,tertiary,no,1699,no,no,cellular
10093,56,unemployed,divorced,primary,no,1770,no,no,cellular
10094,24,management,single,tertiary,no,1,no,no,cellular
10095,60,admin.,married,tertiary,no,1614,no,no,cellular
10096,51,blue-collar,married,primary,no,4497,yes,no,unknown
10097,47,technician,married,secondary,no,1571,yes,no,cellular
10098,42,blue-collar,married,primary,no,807,yes,no,cellular
10099,31,technician,single,secondary,no,1222,yes,no,cellular
10100,67,management,married,tertiary,no,405,no,no,cellular
10101,38,blue-collar,married,primary,no,668,no,no,unknown
10102,46,services,divorced,secondary,no,0,no,no,unknown
10103,58,retired,married,primary,no,1241,no,no,cellular
10104,34,management,married,tertiary,no,417,yes,no,cellular
10105,35,management,single,tertiary,no,2486,yes,no,cellular
10106,28,technician,single,tertiary,no,0,yes,no,cellular
10107,37,blue-collar,married,primary,no,3517,yes,no,unknown
10108,34,housemaid,married,primary,no,2929,no,no,cellular
10109,39,blue-collar,married,secondary,no,94,yes,yes,cellular
10110,28,admin.,single,secondary,no,261,yes,yes,cellular
10111,43,services,divorced,secondary,no,1040,yes,no,unknown
10112,40,management,divorced,tertiary,no,858,no,no,cellular
10113,93,retired,married,unknown,no,775,no,no,cellular
10114,33,student,married,secondary,no,1536,no,no,cellular
10115,30,unemployed,married,tertiary,no,330,no,no,cellular
10116,51,technician,married,secondary,no,2682,no,no,unknown
10117,23,student,single,secondary,no,431,no,no,cellular
10118,31,blue-collar,married,primary,no,-454,yes,yes,unknown
10119,58,services,married,primary,no,943,yes,no,unknown
10120,29,technician,married,secondary,no,-910,yes,no,cellular
10121,34,blue-collar,married,secondary,no,577,no,no,unknown
10122,31,self-employed,single,secondary,no,203,no,yes,cellular
10123,47,retired,married,primary,no,1374,no,yes,telephone
10124,39,technician,married,secondary,no,1587,yes,no,cellular
10125,30,blue-collar,married,secondary,no,128,yes,no,unknown
10126,55,admin.,married,secondary,no,602,no,no,cellular
10127,57,retired,married,secondary,no,5313,no,no,cellular
10128,40,services,married,secondary,no,0,yes,no,cellular
10129,34,management,married,tertiary,no,2374,yes,yes,cellular
10130,59,management,married,tertiary,no,1783,no,yes,cellular
10131,44,unemployed,married,secondary,no,0,yes,no,cellular
10132,50,technician,married,secondary,no,3370,no,no,cellular
10133,34,admin.,married,secondary,no,-33,yes,yes,cellular
10134,31,management,married,tertiary,no,1331,no,no,unknown
10135,41,self-employed,married,secondary,no,305,yes,no,cellular
10136,56,retired,married,secondary,no,4577,no,no,cellular
10137,53,retired,married,tertiary,no,7132,no,no,cellular
10138,33,management,married,tertiary,no,307,no,no,unknown
10139,51,blue-collar,married,primary,no,0,no,no,cellular
10140,57,services,married,primary,no,1728,yes,no,telephone
10141,45,blue-collar,married,secondary,no,105,yes,yes,unknown
10142,43,management,single,secondary,no,109,yes,no,unknown
10143,50,management,married,tertiary,no,346,no,no,cellular
10144,55,management,married,primary,no,621,no,yes,cellular
10145,26,technician,single,secondary,no,33,no,no,cellular
10146,41,blue-collar,married,secondary,no,580,yes,no,cellular
10147,28,management,single,tertiary,no,390,no,no,cellular
10148,29,management,single,tertiary,no,502,no,no,cellular
10149,60,retired,divorced,secondary,no,496,yes,no,cellular
10150,28,unknown,single,unknown,no,326,no,no,cellular
10151,44,admin.,divorced,secondary,no,397,yes,yes,cellular
10152,47,management,married,tertiary,no,2351,no,no,cellular
10153,37,admin.,single,tertiary,no,1000,yes,no,cellular
10154,29,admin.,married,secondary,no,0,yes,no,unknown
10155,27,management,single,tertiary,no,1840,no,no,cellular
10156,58,retired,married,secondary,no,1230,no,no,cellular
10157,59,self-employed,married,tertiary,no,2013,no,no,cellular
10158,46,management,married,secondary,no,0,no,no,cellular
10159,52,technician,married,secondary,no,-38,no,no,unknown
10160,41,blue-collar,married,primary,no,3140,yes,no,unknown
10161,40,blue-collar,single,secondary,no,1066,yes,no,unknown
10162,35,unemployed,married,secondary,no,1,yes,no,cellular
10163,46,technician,married,tertiary,no,841,yes,no,unknown
10164,31,technician,single,secondary,no,138,no,no,cellular
10165,47,technician,married,secondary,no,834,no,yes,cellular
10166,53,housemaid,married,primary,no,362,no,no,cellular
10167,35,technician,single,secondary,no,399,yes,no,cellular
10168,45,blue-collar,married,secondary,no,28,no,yes,cellular
10169,31,self-employed,single,tertiary,no,144,yes,no,unknown
10170,58,unemployed,married,secondary,no,18,no,no,cellular
10171,42,management,married,tertiary,no,2816,no,no,cellular
10172,43,unemployed,divorced,secondary,no,1854,no,no,cellular
10173,47,self-employed,married,primary,no,574,yes,no,cellular
10174,56,housemaid,married,primary,no,445,no,no,cellular
10175,31,services,married,secondary,no,0,yes,no,cellular
10176,35,blue-collar,married,secondary,no,67,no,no,unknown
10177,56,management,married,tertiary,no,6798,yes,no,cellular
10178,28,entrepreneur,single,secondary,no,1734,yes,no,unknown
10179,50,technician,married,tertiary,no,247,no,no,unknown
10180,51,technician,married,secondary,no,1327,no,no,cellular
10181,53,technician,married,tertiary,no,9001,no,no,cellular
10182,22,student,single,secondary,no,2162,no,no,telephone
10183,59,retired,divorced,secondary,no,1,no,no,cellular
10184,45,unemployed,divorced,secondary,no,-44,yes,no,cellular
10185,26,blue-collar,single,secondary,no,277,no,no,unknown
10186,40,unemployed,single,tertiary,no,7968,no,no,cellular
10187,67,management,married,tertiary,no,405,no,no,cellular
10188,75,retired,married,tertiary,no,6027,no,no,cellular
10189,45,management,married,tertiary,no,623,no,no,cellular
10190,40,services,married,secondary,no,1836,yes,no,cellular
10191,46,blue-collar,married,secondary,no,2603,yes,yes,cellular
10192,36,blue-collar,married,primary,no,403,yes,no,unknown
10193,65,management,divorced,tertiary,no,90,yes,no,cellular
10194,50,management,married,tertiary,no,2050,no,no,cellular
10195,50,technician,married,secondary,no,892,yes,yes,unknown
10196,28,management,single,tertiary,no,437,no,no,cellular
10197,34,services,single,secondary,no,2,yes,no,cellular
10198,73,retired,married,primary,no,542,no,no,cellular
10199,53,admin.,divorced,secondary,no,223,yes,yes,cellular
10200,32,management,married,tertiary,no,8929,no,no,cellular
10201,57,self-employed,married,secondary,no,11494,no,no,cellular
10202,39,admin.,married,secondary,no,732,no,no,cellular
10203,48,entrepreneur,married,secondary,no,0,no,yes,cellular
10204,27,blue-collar,single,secondary,no,513,yes,yes,cellular
10205,54,admin.,married,primary,no,0,no,no,cellular
10206,35,technician,married,tertiary,no,1354,no,no,cellular
10207,33,blue-collar,married,primary,no,925,no,no,cellular
10208,39,management,married,tertiary,no,0,yes,yes,cellular
10209,53,technician,married,secondary,no,480,no,no,unknown
10210,57,admin.,married,primary,no,1694,yes,no,telephone
10211,36,technician,married,secondary,no,84,yes,no,unknown
10212,29,admin.,single,secondary,no,1277,no,no,cellular
10213,32,management,married,secondary,no,134,yes,yes,cellular
10214,57,admin.,divorced,secondary,no,0,no,no,cellular
10215,29,self-employed,single,tertiary,no,3290,no,no,cellular
10216,36,blue-collar,single,secondary,no,478,yes,no,cellular
10217,42,blue-collar,married,primary,no,1461,yes,no,cellular
10218,32,housemaid,married,primary,no,51,yes,no,cellular
10219,32,blue-collar,married,secondary,no,897,yes,no,cellular
10220,28,blue-collar,single,secondary,no,455,yes,no,cellular
10221,49,blue-collar,married,secondary,no,3309,yes,no,cellular
10222,49,entrepreneur,married,primary,no,6188,no,no,cellular
10223,35,admin.,married,secondary,no,-87,yes,no,unknown
10224,43,services,married,secondary,no,43,yes,no,cellular
10225,65,retired,married,primary,no,493,no,no,cellular
10226,49,entrepreneur,married,secondary,no,89,yes,no,cellular
10227,35,blue-collar,married,tertiary,no,5271,yes,no,cellular
10228,36,blue-collar,married,secondary,no,222,yes,no,unknown
10229,46,management,single,tertiary,no,0,no,no,cellular
10230,27,student,single,secondary,no,213,no,no,cellular
10231,50,housemaid,married,primary,no,5296,no,no,cellular
10232,22,student,single,secondary,no,948,no,no,telephone
