customer_id,deposit
10001,yes
10002,no
10003,yes
10004,no
10005,yes
10006,yes
10007,yes
10008,no
10009,yes
10010,no
10011,yes
10012,no
10013,yes
10014,yes
10015,no
10016,yes
10017,no
10018,yes
10019,yes
10020,no
10021,no
10022,no
10023,yes
10024,no
10025,yes
10026,no
10027,no
10028,yes
10029,yes
10030,yes
10031,yes
10032,yes
10033,yes
10034,yes
10035,yes
10036,no
10037,yes
10038,no
10039,no
10040,no
10041,yes
10042,yes
10043,yes
10044,no
10045,yes
10046,no
10047,no
10048,no
10049,no
10050,no
10051,yes
10052,no
10053,no
10054,yes
10055,no
10056,yes
10057,yes
10058,no
10059,no
10060,no
10061,yes
10062,yes
10063,yes
10064,no
10065,no
10066,yes
10067,yes
10068,yes
10069,no
10070,yes
10071,no
10072,no
10073,no
10074,no
10075,no
10076,no
10077,yes
10078,yes
10079,yes
10080,yes
10081,yes
10082,yes
10083,yes
10084,yes
10085,no
10086,no
10087,no
10088,no
10089,no
10090,yes
10091,no
10092,yes
10093,yes
10094,yes
10095,yes
10096,no
10097,no
10098,no
10099,yes
10100,yes
10101,no
10102,no
10103,yes
10104,no
10105,yes
10106,yes
10107,no
10108,no
10109,no
10110,no
10111,no
10112,yes
10113,yes
10114,yes
10115,yes
10116,no
10117,yes
10118,no
10119,no
10120,no
10121,no
10122,no
10123,no
10124,no
10125,no
10126,yes
10127,yes
10128,no
10129,no
10130,no
10131,yes
10132,yes
10133,no
10134,no
10135,no
10136,yes
10137,yes
10138,no
10139,yes
10140,no
10141,no
10142,no
10143,yes
10144,no
10145,yes
10146,no
10147,yes
10148,yes
10149,yes
10150,yes
10151,no
10152,yes
10153,yes
10154,no
10155,yes
10156,yes
10157,yes
10158,yes
10159,no
10160,no
10161,no
10162,yes
10163,no
10164,yes
10165,no
10166,no
10167,yes
10168,no
10169,no
10170,yes
10171,yes
10172,yes
10173,no
10174,no
10175,no
10176,no
10177,yes
10178,no
10179,no
10180,yes
10181,yes
10182,yes
10183,yes
10184,yes
10185,no
10186,yes
10187,yes
10188,yes
10189,yes
10190,no
10191,no
10192,no
10193,yes
10194,yes
10195,no
10196,yes
10197,yes
10198,yes
10199,no
10200,yes
10201,yes
10202,yes
10203,no
10204,no
10205,yes
10206,yes
10207,yes
10208,no
10209,no
10210,no
10211,no
10212,yes
10213,no
10214,yes
10215,yes
10216,yes
10217,no
10218,no
10219,no
10220,yes
10221,no
10222,yes
10223,no
10224,no
10225,yes
10226,no
10227,yes
10228,no
10229,yes
10230,yes
10231,yes
10232,yes
10233,no
10234,yes
10235,no
10236,no
10237,no
10238,no
10239,no
10240,no
10241,no
10242,yes
10243,yes
10244,no
10245,no
10246,no
10247,yes
10248,yes
10249,yes
10250,yes
10251,no
10252,yes
10253,yes
10254,no
10255,no
10256,yes
10257,no
10258,no
10259,yes
10260,yes
10261,yes
10262,yes
10263,yes
10264,no
10265,no
10266,no
10267,yes
10268,no
10269,no
10270,no
10271,no
10272,yes
10273,no
10274,no
10275,yes
10276,yes
10277,no
10278,no
10279,no
10280,no
10281,no
10282,yes
10283,yes
10284,yes
10285,yes
10286,no
10287,yes
10288,yes
10289,yes
10290,no
10291,yes
10292,yes
10293,yes
10294,no
10295,no
10296,no
10297,no
10298,yes
10299,no
10300,yes
10301,no
10302,yes
10303,yes
10304,no
10305,no
10306,yes
10307,no
10308,no
10309,no
10310,yes
10311,no
10312,no
10313,yes
10314,yes
10315,yes
10316,yes
10317,yes
10318,yes
10319,yes
10320,yes
10321,yes
10322,yes
10323,no
10324,no
10325,yes
10326,yes
10327,no
10328,no
10329,yes
10330,no
10331,no
10332,no
10333,yes
10334,yes
10335,no
10336,no
10337,no
10338,yes
10339,no
10340,yes
10341,yes
10342,no
10343,yes
10344,no
10345,yes
10346,no
10347,yes
10348,no
10349,yes
10350,no
10351,yes
10352,no
10353,yes
10354,yes
10355,yes
10356,no
10357,yes
10358,yes
10359,no
10360,no
10361,yes
10362,yes
10363,yes
10364,yes
10365,no
10366,no
10367,yes
10368,no
10369,no
10370,no
10371,yes
10372,yes
10373,no
10374,no
10375,yes
10376,yes
10377,no
10378,yes
10379,no
10380,no
10381,no
10382,yes
10383,no
10384,no
10385,no
10386,yes
10387,no
10388,no
10389,no
10390,yes
10391,yes
10392,no
10393,yes
10394,no
10395,no
10396,no
10397,no
10398,yes
10399,yes
10400,no
10401,no
10402,no
10403,yes
10404,yes
10405,no
10406,no
10407,yes
10408,yes
10409,yes
10410,no
10411,yes
10412,no
10413,no
10414,no
10415,no
10416,yes
10417,yes
10418,no
10419,no
10420,yes
10421,no
10422,yes
10423,no
10424,yes
10425,yes
10426,no
10427,no
10428,no
10429,no
10430,yes
10431,yes
10432,yes
10433,yes
10434,no
10435,yes
10436,no
10437,no
10438,no
10439,yes
10440,yes
10441,yes
10442,no
10443,no
10444,yes
10445,no
10446,yes
10447,no
10448,no
10449,yes
10450,no
10451,no
10452,yes
10453,yes
10454,yes
10455,yes
10456,yes
10457,yes
10458,no
10459,yes
10460,yes
10461,no
10462,yes
10463,no
10464,yes
10465,no
10466,no
10467,no
10468,yes
10469,yes
10470,yes
10471,yes
10472,yes
10473,yes
10474,yes
10475,yes
10476,yes
10477,no
10478,yes
10479,yes
10480,yes
10481,no
10482,no
10483,yes
10484,yes
10485,yes
10486,no
10487,no
10488,no
10489,no
10490,yes
10491,no
10492,yes
10493,yes
10494,yes
10495,yes
10496,no
10497,yes
10498,yes
10499,yes
10500,yes
10501,yes
10502,no
10503,no
10504,yes
10505,no
10506,no
10507,yes
10508,no
10509,no
10510,yes
10511,no
10512,no
10513,no
10514,yes
10515,no
10516,yes
10517,no
10518,yes
10519,no
10520,no
10521,yes
10522,no
10523,yes
10524,no
10525,yes
10526,no
10527,no
10528,no
10529,yes
10530,yes
10531,no
10532,yes
10533,no
10534,yes
10535,no
10536,yes
10537,no
10538,yes
10539,yes
10540,yes
10541,no
10542,yes
10543,no
10544,no
10545,yes
10546,yes
10547,no
10548,yes
10549,no
10550,yes
10551,no
10552,no
10553,no
10554,no
10555,no
10556,no
10557,no
10558,no
10559,no
10560,no
10561,yes
10562,no
10563,yes
10564,no
10565,no
10566,yes
10567,yes
10568,no
10569,no
10570,no
10571,no
10572,no
10573,no
10574,yes
10575,no
10576,no
10577,yes
10578,yes
10579,no
10580,no
10581,no
10582,yes
10583,yes
10584,yes
10585,no
10586,no
10587,yes
10588,yes
10589,yes
10590,yes
10591,no
10592,no
10593,yes
10594,yes
10595,no
10596,yes
10597,yes
10598,yes
10599,yes
10600,yes
10601,yes
10602,yes
10603,yes
10604,yes
10605,no
10606,yes
10607,yes
10608,yes
10609,no
10610,yes
10611,yes
10612,yes
10613,yes
10614,no
10615,no
10616,yes
10617,no
10618,no
10619,yes
10620,no
10621,yes
10622,yes
10623,no
10624,no
10625,yes
10626,yes
10627,yes
10628,no
10629,yes
10630,yes
10631,yes
10632,yes
10633,yes
10634,yes
10635,no
10636,no
10637,yes
10638,no
10639,yes
10640,yes
10641,no
10642,yes
10643,no
10644,yes
10645,yes
10646,yes
10647,no
10648,no
10649,yes
10650,no
10651,no
10652,yes
10653,no
10654,no
10655,no
10656,yes
10657,yes
10658,no
10659,yes
10660,yes
10661,no
10662,yes
10663,yes
10664,yes
10665,no
10666,no
10667,yes
10668,yes
10669,yes
10670,no
10671,yes
10672,yes
10673,yes
10674,no
10675,yes
10676,no
10677,no
10678,no
10679,yes
10680,yes
10681,yes
10682,yes
10683,yes
10684,no
10685,yes
10686,no
10687,no
10688,yes
10689,no
10690,no
10691,no
10692,no
10693,no
10694,yes
10695,no
10696,no
10697,yes
10698,no
10699,yes
10700,yes
10701,yes
10702,yes
10703,no
10704,no
10705,yes
10706,yes
10707,yes
10708,yes
10709,no
10710,no
10711,no
10712,no
10713,yes
10714,yes
10715,yes
10716,no
10717,yes
10718,yes
10719,no
10720,yes
10721,no
10722,yes
10723,no
10724,no
10725,no
10726,yes
10727,yes
10728,yes
10729,yes
10730,yes
10731,yes
10732,no
10733,no
10734,yes
10735,no
10736,yes
10737,yes
10738,no
10739,no
10740,no
10741,no
10742,no
10743,no
10744,yes
10745,yes
10746,no
10747,yes
10748,yes
10749,yes
10750,yes
10751,yes
10752,no
10753,yes
10754,no
10755,no
10756,yes
10757,yes
10758,yes
10759,yes
10760,yes
10761,no
10762,no
10763,yes
10764,yes
10765,yes
10766,yes
10767,no
10768,no
10769,no
10770,no
10771,yes
10772,yes
10773,yes
10774,yes
10775,no
10776,no
10777,yes
10778,yes
10779,no
10780,yes
10781,no
10782,yes
10783,yes
10784,yes
10785,yes
10786,no
10787,no
10788,no
10789,no
10790,no
10791,no
10792,no
10793,no
10794,no
10795,yes
10796,yes
10797,no
10798,no
10799,no
10800,yes
10801,yes
10802,yes
10803,no
10804,yes
10805,yes
10806,no
10807,yes
10808,yes
10809,yes
10810,yes
10811,yes
10812,no
10813,no
10814,yes
10815,yes
10816,yes
10817,yes
10818,yes
10819,yes
10820,no
10821,no
10822,no
10823,no
10824,no
10825,yes
10826,yes
10827,yes
10828,no
10829,no
10830,no
