customer_id,age,job,marital,education,default,balance,home_loan,personal_loan,contact,deposit
1,65,retired,divorced,secondary,no,744,no,no,cellular,no
2,38,blue-collar,married,secondary,no,1627,no,no,unknown,yes
3,35,blue-collar,single,secondary,no,4963,yes,no,cellular,yes
4,47,blue-collar,married,secondary,no,8229,no,no,cellular,yes
5,35,technician,married,tertiary,no,1473,yes,no,unknown,no
6,30,management,single,tertiary,no,119,no,no,cellular,no
7,47,admin.,married,secondary,no,3434,yes,yes,telephone,no
8,56,blue-collar,married,secondary,no,771,yes,yes,unknown,no
9,35,self-employed,divorced,secondary,no,3443,no,no,cellular,no
10,26,student,single,tertiary,no,10086,no,no,cellular,no
11,55,technician,married,secondary,no,0,no,no,cellular,no
12,49,management,married,tertiary,no,20,yes,no,cellular,no
13,26,technician,single,secondary,no,507,no,no,cellular,yes
14,46,blue-collar,divorced,primary,no,219,yes,no,cellular,yes
15,27,admin.,single,secondary,no,4745,no,no,telephone,yes
16,35,management,married,secondary,no,97,yes,no,unknown,no
17,29,admin.,single,secondary,no,464,no,no,cellular,yes
18,29,technician,single,secondary,no,113,no,no,cellular,yes
19,56,admin.,married,secondary,no,5310,no,no,unknown,no
20,37,admin.,married,secondary,no,1049,no,no,cellular,no
21,27,technician,single,secondary,no,204,no,no,cellular,yes
22,22,student,single,secondary,no,254,no,no,cellular,yes
23,43,technician,single,secondary,no,593,yes,no,unknown,no
24,27,student,single,secondary,no,2614,no,no,cellular,yes
25,43,technician,married,secondary,no,0,no,yes,cellular,no
26,53,blue-collar,married,secondary,yes,-634,no,no,cellular,no
27,28,management,single,tertiary,no,9314,no,no,cellular,yes
28,47,admin.,married,secondary,no,1387,yes,no,cellular,no
29,38,management,married,tertiary,no,613,no,no,cellular,yes
30,57,blue-collar,married,unknown,no,3196,no,no,cellular,no
31,35,blue-collar,married,primary,no,102,yes,no,unknown,yes
32,34,blue-collar,single,secondary,no,550,yes,no,cellular,no
33,28,technician,single,secondary,no,250,no,yes,cellular,no
34,39,entrepreneur,married,secondary,no,11887,no,no,cellular,yes
35,31,management,single,tertiary,no,2016,no,no,cellular,yes
36,26,entrepreneur,married,tertiary,yes,144,no,yes,cellular,no
37,31,blue-collar,married,secondary,no,671,yes,no,unknown,yes
38,33,management,single,tertiary,no,1304,yes,no,cellular,yes
39,28,services,single,secondary,no,1636,yes,no,cellular,no
40,23,technician,single,secondary,no,598,no,no,cellular,yes
41,87,retired,married,primary,no,230,no,no,cellular,yes
42,27,admin.,married,secondary,no,1595,no,no,cellular,yes
43,33,services,married,secondary,no,1697,no,no,cellular,yes
44,44,technician,married,secondary,no,7649,no,no,cellular,no
45,32,blue-collar,single,primary,no,1426,yes,no,cellular,no
46,28,admin.,single,tertiary,no,832,no,no,telephone,yes
47,32,services,married,secondary,no,3839,yes,no,cellular,no
48,45,technician,divorced,unknown,yes,-25,no,yes,unknown,no
49,34,housemaid,married,secondary,no,390,yes,no,cellular,no
50,43,blue-collar,married,primary,no,-181,yes,no,cellular,no
51,32,technician,single,tertiary,no,723,no,no,cellular,no
52,59,technician,married,secondary,no,316,no,no,cellular,no
53,42,admin.,married,secondary,no,445,yes,no,unknown,no
54,27,management,single,secondary,no,178,yes,no,unknown,yes
55,26,blue-collar,married,secondary,no,2770,yes,no,unknown,no
56,29,blue-collar,single,secondary,no,322,no,no,unknown,yes
57,29,management,single,tertiary,no,92,no,no,cellular,no
58,32,management,married,tertiary,no,1270,no,no,cellular,yes
59,33,management,married,tertiary,no,728,yes,no,cellular,no
60,38,technician,single,secondary,no,-242,yes,no,cellular,yes
61,31,services,married,secondary,no,447,no,no,cellular,yes
62,41,blue-collar,single,primary,no,0,yes,no,unknown,no
63,34,admin.,divorced,secondary,no,627,yes,no,unknown,no
64,25,unemployed,single,primary,no,129,no,no,cellular,yes
65,53,management,married,tertiary,no,583,no,no,cellular,yes
66,54,management,married,unknown,no,24,no,no,cellular,no
67,24,admin.,single,tertiary,no,0,yes,no,cellular,yes
68,80,retired,married,secondary,no,8304,no,no,telephone,yes
69,25,admin.,single,secondary,no,82,no,yes,cellular,yes
70,41,technician,single,unknown,no,356,yes,no,unknown,no
71,29,blue-collar,married,secondary,no,246,yes,no,cellular,no
72,25,technician,single,secondary,no,1298,no,no,cellular,no
73,55,management,married,primary,no,19,yes,no,unknown,no
74,48,blue-collar,married,primary,no,214,yes,yes,cellular,no
75,56,blue-collar,married,primary,no,3498,no,no,cellular,yes
76,34,admin.,single,secondary,no,673,yes,no,cellular,no
77,52,unemployed,married,secondary,no,1416,no,no,cellular,yes
78,54,management,divorced,tertiary,no,12018,yes,no,cellular,yes
79,32,blue-collar,single,secondary,no,15341,no,no,unknown,no
80,30,admin.,divorced,secondary,no,83,yes,yes,unknown,no
81,73,retired,married,primary,no,508,no,no,cellular,yes
82,34,admin.,single,secondary,no,1880,yes,no,unknown,no
83,51,entrepreneur,married,secondary,no,-799,no,yes,cellular,yes
